#NAME	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_3467	Bacteria	NA	NA	NA	NA	NA	NA
ASV_4103	Bacteria	NA	NA	NA	NA	NA	NA
ASV_5927	Bacteria	NA	NA	NA	NA	NA	NA
ASV_6274	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7393	Bacteria	NA	NA	NA	NA	NA	NA
ASV_8304	Bacteria	NA	NA	NA	NA	NA	NA
ASV_8347	Bacteria	NA	NA	NA	NA	NA	NA
ASV_9401	Bacteria	NA	NA	NA	NA	NA	NA
ASV_10516	Bacteria	NA	NA	NA	NA	NA	NA
