#NAME,I21631-L1,I21632-L1,I21634-L1,I21635-L1,I21636-L1,I21637-L1,I21639-L1,I21641-L1,I21643-L1,I21645-L1,I21646-L1,I21647-L1,I21648-L1,I21649-L1,I21650-L1,I21651-L1,I21652-L1,I21653-L1,I21654-L1,I21655-L1,I21656-L1,I21657-L1,I21658-L1,I21659-L1,I21660-L1,I21661-L1,I21662-L1,I21663-L1,I21664-L1,I21665-L1,I21666-L1,I21667-L1,I21668-L1,I21669-L1,I21670-L1,I21671-L1,I21673-L1,I21674-L1,I21675-L1,I21676-L1,I21677-L1,I21678-L1,I21679-L1,I21680-L1,I21681-L1,I21682-L1,I21683-L1,I21684-L1,I21685-L1,I21686-L1,I21687-L1,I21688-L1,I21689-L1,I21690-L1,I21691-L1,I21692-L1,I21693-L1,I21694-L1,I21695-L1,I21696-L1,I21697-L1,I21698-L1,I21700-L1,I21701-L1,I21702-L1,I21703-L1,I21704-L1,I21705-L1,I21706-L1,I21707-L1,I21708-L1,I21709-L1,I21710-L1,I21711-L1,I21712-L1,I21713-L1,I21714-L1,I21740-L1,I21741-L1
ASV_14,0,0,106,0,0,16,0,91,57,25,366,0,0,192,357,117,0,25,93,1451,1964,0,5083,955,488,1908,1522,334,2534,367,4679,4343,234,18,0,4288,0,0,1294,0,0,0,2611,0,0,10,117,0,0,2938,990,756,693,3400,299,3474,948,557,727,2892,805,1932,1799,0,1438,0,0,0,2721,1019,0,12,0,37,0,5726,0,195,334
ASV_15,0,0,69,0,0,0,0,32,10,3083,1162,0,514,0,672,424,0,52,6,52,314,0,10743,1943,1088,973,990,271,2205,135,340,2242,162,23,0,1676,0,0,3876,0,0,0,1454,0,0,0,0,0,0,2264,430,341,3023,3643,890,1148,174,1634,160,8258,242,0,2832,45,341,0,0,0,257,1078,0,301,0,4370,0,1108,0,205,930
ASV_16,58,41,11,0,0,0,0,0,9,5344,419,308,491,6,2677,0,9,0,0,118,142,21,796,3535,1890,398,38,4060,1624,12091,615,509,3630,210,130,142,119,0,84,0,6,0,885,65,3844,0,0,0,0,18,388,49,219,223,0,49,0,2276,45,0,90,33,0,0,228,0,159,0,265,31,0,72,0,77,24,124,63,0,226
ASV_17,117,570,294,119,95,278,7,90,173,0,53,183,0,33,68,120,28,51,60,41,0,27,74,100,302,453,88,566,873,242,241,52,210,0,469,22,0,43,43,80,0,29,77,46,0,15,0,0,0,324,99,242,175,528,191,167,34,50,60,88,0,0,101,0,0,22,0,0,135,69,58,11,0,69,78,138,35495,90,474
ASV_18,103,419,391,144,26,291,19,234,135,341,217,261,26,300,205,353,204,35,98,639,158,352,101,632,10030,288,25,1925,497,743,135,1785,677,1079,215,322,85,25,343,143,97,0,969,220,681,107,13,0,0,637,116,442,931,882,424,418,28,415,694,128,134,183,92,259,1614,106,83,331,711,3294,178,611,25,587,61,2183,126,151,553
ASV_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17377,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_20,79,110,0,0,0,173,6543,3120,388,0,0,0,0,0,336,0,440,1773,2307,124,1400,0,0,0,0,0,0,62,67,0,0,544,578,369,0,0,0,0,0,0,0,0,0,0,2236,36,3129,0,0,155,0,0,0,0,0,26,0,0,0,0,2459,0,0,0,69,0,193,0,56,434,390,1641,3187,555,3587,65,56,77,151
ASV_21,50,363,0,27,0,876,0,70,0,35,0,0,135,0,2059,0,0,0,0,563,0,0,1101,1236,39,191,517,12,249,276,801,23,454,0,32,1633,0,0,1560,101,0,0,574,0,0,0,346,0,0,1729,1321,663,1382,2624,615,3804,0,5021,2891,14,478,10,0,0,18,0,15,0,468,0,29,0,17,22,0,690,0,0,1430
ASV_22,0,0,14,0,0,0,0,22,0,212,0,0,40,0,4979,295,0,0,0,569,76,0,605,345,20,0,216,0,0,250,9471,47,569,0,0,413,0,0,1729,18,0,0,2689,0,0,0,43,0,0,607,1194,977,714,1485,581,1894,0,956,867,11,205,56,70,0,16,0,0,0,201,0,0,0,0,0,0,0,0,151,23
ASV_23,89,231,684,51,0,82,0,50,105,3068,1149,517,724,33,1284,36,0,89,22,316,0,42,366,693,3199,725,768,2515,605,2953,179,205,1288,575,78,277,0,125,56,144,23,30,1592,0,1847,0,0,0,0,65,674,241,251,300,170,101,21,905,352,42,443,182,0,71,65,23,131,0,270,48,128,139,16,303,47,389,0,105,67
ASV_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2927,0,0,27733,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
ASV_25,56,305,71,125,40,214,11,77,155,192,151,243,19,97,162,174,104,0,66,313,96,338,62,509,6624,213,14,1188,342,434,111,1380,446,699,123,197,106,11,346,77,47,0,494,146,413,82,22,30,0,342,71,454,670,636,317,292,0,313,547,62,78,129,74,248,1512,88,73,266,664,2688,162,367,14,416,30,1273,89,83,383
ASV_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29151,0,48,0,0,0,0,0,0,0,0,0,0,0,32,0,74,0
ASV_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_29,78,0,0,0,0,203,0,0,33,82,0,0,0,11,47,0,1772,32,859,1188,12715,0,70,0,109,24,0,631,37,205,0,0,0,0,51,0,0,66,0,50,13,16,33,84,0,63,144,24,0,221,103,0,0,87,145,249,235,50,0,43,0,195,55,30,0,0,0,0,0,0,237,377,0,84,0,31,1146,517,651
ASV_30,18,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,8,0
ASV_31,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_32,0,0,0,10,28,0,0,14,135,40,0,0,0,23,198,129,11,168,0,330,853,0,280,1020,51,562,6890,83,69,100,116,185,316,16,0,155,0,0,777,0,0,0,0,0,0,0,0,0,0,113,2218,67,33,256,29,375,49,572,53,181,164,39,0,0,198,0,0,0,0,33,28,0,0,8,0,71,0,422,182
ASV_33,297,94,3979,99,75,278,14,145,587,119,30,149,21,71,39,103,87,74,104,56,0,213,14,53,88,141,22,170,47,66,24,111,70,0,83,13,0,44,28,59,0,0,99,60,12,33,8,0,15,36,24,58,76,95,73,51,162,61,0,83,0,0,15,51,30,0,48,32,44,75,15,32,0,155,158,50,137,17,76
ASV_34,0,0,0,0,0,0,0,0,0,47,0,0,49,0,2021,151,0,0,0,253,35,0,332,167,0,0,89,0,0,172,4368,40,301,0,0,166,0,0,656,0,0,0,1269,0,0,0,0,0,0,252,506,534,320,678,186,849,0,430,492,0,82,37,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,121,36
ASV_37,278,75,2525,150,41,90,0,94,449,0,40,38,0,43,0,0,0,89,0,0,0,92,0,37,32,58,0,0,32,0,0,0,40,0,197,0,0,38,0,37,0,0,0,0,0,0,0,0,0,0,0,44,54,52,0,0,74,0,41,0,0,0,0,0,0,34,52,0,0,47,0,0,0,0,0,36,0,0,0
ASV_38,1000,424,23,89,31,664,201,39,181,0,100,10,8,9,20,12,77,0,0,435,0,57,12,10,108,29,17,70,182,549,27,351,48,9,383,10,0,71,48,0,0,0,14,27,0,493,2,0,0,0,71,23,6,138,445,1794,118,0,116,63,10,4,41,13,112,0,194,0,146,12,19,117,0,62,0,22,0,22,53
ASV_39,0,202,35,0,24,9968,10,7,0,0,45,0,0,0,28,181,0,0,0,0,4,0,32,31,736,0,0,0,24,19,0,0,0,0,41,0,0,0,0,119,0,0,0,0,0,0,0,0,0,66,0,35,0,42,0,32,0,0,0,0,0,0,0,38,70,0,16,27,0,39,0,0,0,0,0,210,0,0,0
ASV_40,95,0,36,0,0,108,0,0,41,2442,237,291,567,0,59,45,0,0,0,30,0,0,184,303,910,510,0,807,115,1936,27,82,430,0,0,0,0,0,0,50,0,26,140,0,1206,0,0,0,0,0,149,73,58,0,0,0,0,430,50,0,128,26,0,0,0,0,0,0,126,0,0,92,0,31,53,177,0,0,0
ASV_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_42,196,72,30,364,48,541,190,0,190,37,0,16,0,33,16,55,0,0,0,173,0,693,788,24,27,93,25,15,42,404,14,25,417,25,1023,0,0,0,55,0,0,46,104,83,0,0,0,0,0,31,748,568,122,29,119,2552,0,17,130,15,7,23,57,0,0,0,41,0,315,0,0,54,0,0,0,165,266,25,36
ASV_43,0,0,0,0,0,0,0,0,0,0,22,0,3,0,68,103,0,0,0,99,0,0,23,34,12,107,85,0,28,21,0,123,0,0,0,78,0,254,254,1484,0,0,69,174,0,347,1217,19,0,102,1903,180,69,319,3172,181,51,119,160,91,76,14,81,0,64,0,16,0,125,61,68,54,0,111,0,44,21,42,134
ASV_45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,0,0,10827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_46,1600,0,552,89,0,0,9,0,0,262,302,220,54,973,0,111,0,150,0,0,0,0,0,187,0,184,113,208,490,0,0,97,0,0,287,0,341,261,200,747,0,0,89,0,0,0,38,0,81,0,57,704,0,297,140,0,0,0,95,303,0,0,0,171,103,0,0,57,282,167,78,0,0,107,0,14,0,1265,7
ASV_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
